product_id	product_shopify_id	product_type_id	size_and_fit_id	product_catagory	product_vendor_id	product_availability	published_at	product_thumbnail	product_title	product_handle	product_description	product_notes	status	status_for_sale	status_for_sale_nonsubscriber	tagging_status	style_image	created_by	updated_by	created_at	updated_at	added_by	hide_product	has_cleaning_category	gtin	mpn	discount_automation	product_image_id	product_shopify_id	product_id	product_image_title	product_image_url	imageposition	isprimary	height	width	created_at	updated_at	created_by	updated_by
9188	0	-1	0	3	280	1	0000-00-00 00:00:00	lennon-midi-skirt-ownley-sienna-78f-1.png	LENNON MIDI SKIRT	lennon-midi-skirt			2	2	2	0		743	13	2024-03-22 16:50:25	2024-03-23 01:05:18		0	0	0	\N	1	92561	\N	9188	\N	lennon-midi-skirt-ownley-sienna-78f-1.png	1	1	0	0	2024-03-22 16:50:27	2024-03-22 16:50:27	743	0
9187	0	-1	0	3	280	1	0000-00-00 00:00:00	vienna-halter-top-ownley-sienna-13a-1.png	VIENNA HALTER TOP	vienna-halter-top			2	2	2	0		743	13	2024-03-22 16:49:11	2024-03-23 01:05:18		0	0	0	\N	1	92560	\N	9187	\N	vienna-halter-top-ownley-sienna-13a-1.png	1	1	0	0	2024-03-22 16:49:12	2024-03-22 16:49:12	743	0
9186	0	-1	0	3	281	1	0000-00-00 00:00:00	aretha-romper-iro-black-d98-1.png	ARETHA ROMPER	aretha-romper			2	2	2	0		743	13	2024-03-22 16:47:30	2024-03-23 01:05:18		0	0	0	\N	1	92559	\N	9186	\N	aretha-romper-iro-black-d98-1.png	1	1	0	0	2024-03-22 16:47:32	2024-03-22 16:47:32	743	0
5569	0	2	0	1	162	1	2022-06-16 15:21:50	delphina-dress-sabina-musayev-blue-1b5-1.jpeg	DELPHINA DRESS	delphina-dress		These dresses don't come with a belt.Eston vestidos no tienen cinturon.	1	1	1	1		182	1	2022-04-25 16:40:11	2024-03-22 16:43:48		0	0	0	\N	0	92556	\N	5569	\N	delphina-dress-sabina-musayev-blue-1b5-3.jpeg	3	0	0	0	2024-03-22 16:43:48	2024-03-22 16:43:48	1	0
5569	0	2	0	1	162	1	2022-06-16 15:21:50	delphina-dress-sabina-musayev-blue-1b5-1.jpeg	DELPHINA DRESS	delphina-dress		These dresses don't come with a belt.Eston vestidos no tienen cinturon.	1	1	1	1		182	1	2022-04-25 16:40:11	2024-03-22 16:43:48		0	0	0	\N	0	92557	\N	5569	\N	delphina-dress-sabina-musayev-blue-1b5-2.jpeg	2	0	0	0	2024-03-22 16:43:48	2024-03-22 16:43:48	1	0
5569	0	2	0	1	162	1	2022-06-16 15:21:50	delphina-dress-sabina-musayev-blue-1b5-1.jpeg	DELPHINA DRESS	delphina-dress		These dresses don't come with a belt.Eston vestidos no tienen cinturon.	1	1	1	1		182	1	2022-04-25 16:40:11	2024-03-22 16:43:48		0	0	0	\N	0	92558	\N	5569	\N	delphina-dress-sabina-musayev-blue-1b5-1.jpeg	1	1	0	0	2024-03-22 16:43:48	2024-03-22 16:43:48	1	0
9011	0	1	0	1	25	1	2024-03-22 16:21:37	nina-dress-1-pistola-reservoir-d8f-1.jpg	NINA DRESS	nina-dress-1			1	1	1	1		743	743	2024-02-14 15:51:06	2024-03-22 16:22:48		0	0	0	\N	1	92552	\N	9011	\N	nina-dress-1-pistola-reservoir-d8f-2.jpg	2	0	0	0	2024-03-22 16:21:41	2024-03-22 16:21:41	743	0
9011	0	1	0	1	25	1	2024-03-22 16:21:37	nina-dress-1-pistola-reservoir-d8f-1.jpg	NINA DRESS	nina-dress-1			1	1	1	1		743	743	2024-02-14 15:51:06	2024-03-22 16:22:48		0	0	0	\N	1	92553	\N	9011	\N	nina-dress-1-pistola-reservoir-d8f-4.jpg	4	0	0	0	2024-03-22 16:21:41	2024-03-22 16:21:41	743	0
9011	0	1	0	1	25	1	2024-03-22 16:21:37	nina-dress-1-pistola-reservoir-d8f-1.jpg	NINA DRESS	nina-dress-1			1	1	1	1		743	743	2024-02-14 15:51:06	2024-03-22 16:22:48		0	0	0	\N	1	92554	\N	9011	\N	nina-dress-1-pistola-reservoir-d8f-3.jpg	3	0	0	0	2024-03-22 16:21:41	2024-03-22 16:21:41	743	0
9011	0	1	0	1	25	1	2024-03-22 16:21:37	nina-dress-1-pistola-reservoir-d8f-1.jpg	NINA DRESS	nina-dress-1			1	1	1	1		743	743	2024-02-14 15:51:06	2024-03-22 16:22:48		0	0	0	\N	1	92555	\N	9011	\N	nina-dress-1-pistola-reservoir-d8f-1.jpg	1	1	0	0	2024-03-22 16:21:41	2024-03-22 16:21:41	743	0
9000	0	1	0	1	266	1	2024-03-22 16:17:57	the-vivi-favorite-daughter-bahamas-2e3-1.jpg	THE VIVI JEAN	the-vivi			1	1	1	1		743	743	2024-02-09 15:18:54	2024-03-22 16:19:36		0	0	0	\N	1	92544	\N	9000	\N	the-vivi-favorite-daughter-bahamas-2e3-1.jpg	1	1	0	0	2024-03-22 16:18:04	2024-03-22 16:18:04	743	0
9000	0	1	0	1	266	1	2024-03-22 16:17:57	the-vivi-favorite-daughter-bahamas-2e3-1.jpg	THE VIVI JEAN	the-vivi			1	1	1	1		743	743	2024-02-09 15:18:54	2024-03-22 16:19:36		0	0	0	\N	1	92545	\N	9000	\N	the-vivi-favorite-daughter-bahamas-2e3-4.jpg	4	0	0	0	2024-03-22 16:18:04	2024-03-22 16:18:04	743	0
9000	0	1	0	1	266	1	2024-03-22 16:17:57	the-vivi-favorite-daughter-bahamas-2e3-1.jpg	THE VIVI JEAN	the-vivi			1	1	1	1		743	743	2024-02-09 15:18:54	2024-03-22 16:19:36		0	0	0	\N	1	92546	\N	9000	\N	the-vivi-favorite-daughter-bahamas-2e3-2.jpg	2	0	0	0	2024-03-22 16:18:04	2024-03-22 16:18:04	743	0
9000	0	1	0	1	266	1	2024-03-22 16:17:57	the-vivi-favorite-daughter-bahamas-2e3-1.jpg	THE VIVI JEAN	the-vivi			1	1	1	1		743	743	2024-02-09 15:18:54	2024-03-22 16:19:36		0	0	0	\N	1	92547	\N	9000	\N	the-vivi-favorite-daughter-bahamas-2e3-3.jpg	3	0	0	0	2024-03-22 16:18:04	2024-03-22 16:18:04	743	0
8895	0	1	0	1	10	1	2024-03-22 16:14:02	prim-mini-dress-show-me-your-mumu-blooming-tulips-0bd-1.jpg	PRIM MINI DRESS	prim-mini-dress			1	1	1	1		743	743	2024-01-04 16:18:39	2024-03-22 16:15:02		0	0	0	\N	1	92537	\N	8895	\N	prim-mini-dress-show-me-your-mumu-blooming-tulips-0bd-1.jpg	1	1	0	0	2024-03-22 16:14:07	2024-03-22 16:14:07	743	0
8895	0	1	0	1	10	1	2024-03-22 16:14:02	prim-mini-dress-show-me-your-mumu-blooming-tulips-0bd-1.jpg	PRIM MINI DRESS	prim-mini-dress			1	1	1	1		743	743	2024-01-04 16:18:39	2024-03-22 16:15:02		0	0	0	\N	1	92538	\N	8895	\N	prim-mini-dress-show-me-your-mumu-blooming-tulips-0bd-2.jpg	2	0	0	0	2024-03-22 16:14:07	2024-03-22 16:14:07	743	0
8895	0	1	0	1	10	1	2024-03-22 16:14:02	prim-mini-dress-show-me-your-mumu-blooming-tulips-0bd-1.jpg	PRIM MINI DRESS	prim-mini-dress			1	1	1	1		743	743	2024-01-04 16:18:39	2024-03-22 16:15:02		0	0	0	\N	1	92539	\N	8895	\N	prim-mini-dress-show-me-your-mumu-blooming-tulips-0bd-3.jpg	3	0	0	0	2024-03-22 16:14:07	2024-03-22 16:14:07	743	0
7974	0	1	0	1	261	1	2023-09-17 07:28:49	claydepants-mes-demoiselles-pink-b95-1.jpg	CLAYDE PANTS	claydepants		slight distressed on the belt edges ok to send out.	1	1	1	1		694	570	2023-08-03 11:28:37	2024-03-22 14:08:55		0	0	0	\N	1	92530	\N	7974	\N	claydepants-mes-demoiselles-pink-b95-1.jpg	1	1	0	0	2024-03-22 14:08:55	2024-03-22 14:08:55	570	0
7974	0	1	0	1	261	1	2023-09-17 07:28:49	claydepants-mes-demoiselles-pink-b95-1.jpg	CLAYDE PANTS	claydepants		slight distressed on the belt edges ok to send out.	1	1	1	1		694	570	2023-08-03 11:28:37	2024-03-22 14:08:55		0	0	0	\N	1	92531	\N	7974	\N	claydepants-mes-demoiselles-pink-b95-2.jpg	2	0	0	0	2024-03-22 14:08:55	2024-03-22 14:08:55	570	0
7974	0	1	0	1	261	1	2023-09-17 07:28:49	claydepants-mes-demoiselles-pink-b95-1.jpg	CLAYDE PANTS	claydepants		slight distressed on the belt edges ok to send out.	1	1	1	1		694	570	2023-08-03 11:28:37	2024-03-22 14:08:55		0	0	0	\N	1	92532	\N	7974	\N	claydepants-mes-demoiselles-pink-b95-4.jpg	4	0	0	0	2024-03-22 14:08:55	2024-03-22 14:08:55	570	0
7974	0	1	0	1	261	1	2023-09-17 07:28:49	claydepants-mes-demoiselles-pink-b95-1.jpg	CLAYDE PANTS	claydepants		slight distressed on the belt edges ok to send out.	1	1	1	1		694	570	2023-08-03 11:28:37	2024-03-22 14:08:55		0	0	0	\N	1	92533	\N	7974	\N	claydepants-mes-demoiselles-pink-b95-3.jpg	3	0	0	0	2024-03-22 14:08:55	2024-03-22 14:08:55	570	0
9095	0	3	0	2	144	1	2024-03-22 08:18:28	nyx-crochet-bag-hvisk--multi-cream-a55-1.jpg	NYX CROCHET BAG	nyx-crochet-bag			1	1	1	1		743	743	2024-03-05 11:09:18	2024-03-22 08:18:30		0	0	0	\N	1	92528	\N	9095	\N	nyx-crochet-bag-hvisk--multi-cream-a55-1.jpg	1	1	0	0	2024-03-22 08:18:30	2024-03-22 08:18:30	743	0
9095	0	3	0	2	144	1	2024-03-22 08:18:28	nyx-crochet-bag-hvisk--multi-cream-a55-1.jpg	NYX CROCHET BAG	nyx-crochet-bag			1	1	1	1		743	743	2024-03-05 11:09:18	2024-03-22 08:18:30		0	0	0	\N	1	92529	\N	9095	\N	nyx-crochet-bag-hvisk--multi-cream-a55-2.jpg	2	0	0	0	2024-03-22 08:18:30	2024-03-22 08:18:30	743	0
9094	0	3	0	2	144	1	2024-03-22 08:17:59	renel-soft-structured-bag-hvisk-sheen-green-6ef-1.jpg	RENEL SOFT STRUCTURED BAG	renel-soft-structured-bag			1	1	1	1		743	743	2024-03-05 11:07:47	2024-03-22 08:18:01		0	0	0	\N	1	92526	\N	9094	\N	renel-soft-structured-bag-hvisk-sheen-green-6ef-1.jpg	1	1	0	0	2024-03-22 08:18:01	2024-03-22 08:18:01	743	0
9094	0	3	0	2	144	1	2024-03-22 08:17:59	renel-soft-structured-bag-hvisk-sheen-green-6ef-1.jpg	RENEL SOFT STRUCTURED BAG	renel-soft-structured-bag			1	1	1	1		743	743	2024-03-05 11:07:47	2024-03-22 08:18:01		0	0	0	\N	1	92527	\N	9094	\N	renel-soft-structured-bag-hvisk-sheen-green-6ef-2.jpg	2	0	0	0	2024-03-22 08:18:01	2024-03-22 08:18:01	743	0
9093	0	3	0	2	144	1	2024-03-22 08:16:52	crane-soft-structured-bag-hvisk-blush-pink-698-1.jpg	CRANE SOFT STRUCTURED BAG	crane-soft-structured-bag			1	1	1	1		743	743	2024-03-05 11:05:18	2024-03-22 08:16:54		0	0	0	\N	1	92524	\N	9093	\N	crane-soft-structured-bag-hvisk-blush-pink-698-1.jpg	1	1	0	0	2024-03-22 08:16:54	2024-03-22 08:16:54	743	0
