original_product,matched_product,cosin_score
6823,3197,1.0
6823,3518,1.0
6823,8212,1.0
6823,8788,0.76240206
6823,2145,1.0
6823,3778,0.76240206
6823,2787,1.0
6823,8533,1.0
6823,2449,1.0
6823,4784,1.0
6823,8321,1.0
6823,8593,1.0
6823,2682,0.76240206
6823,7992,0.7699175
6823,2022,0.76240206
6823,3907,1.0
6823,1627,0.45265022
6823,8667,0.7699175
6823,8398,0.7699175
6823,879,1.0
6823,7972,1.0
6823,3322,1.0
6823,5021,1.0
6823,3681,1.0
6823,2788,1.0
6823,3519,1.0
6823,1879,0.76240206
6823,9103,1.0
6823,4783,1.0
6823,3065,1.0
6823,9102,1.0
6823,3851,1.0
6823,8783,0.76240206
6823,2501,1.0
6823,2985,1.0
6823,5687,1.0
6823,6165,0.7699175
6823,8512,1.0
6823,5955,0.45265022
6823,8211,1.0
6823,8766,1.0
6823,497,1.0
6823,9175,1.0
6823,4932,1.0
6823,7991,1.0
6823,7298,1.0
6823,1529,1.0
6823,6022,1.0
6823,8297,1.0
6823,3086,1.0
6823,2622,0.7699175
6823,7828,1.0
6823,2783,1.0
6823,1285,1.0
6823,8208,1.0
6823,2508,1.0
6823,3785,1.0
6823,409,1.0
6823,211,1.0
6823,8608,1.0
6823,6092,1.0
6823,8494,0.7699175
6823,395,1.0
6823,8740,0.7699175
6823,3474,1.0
6823,6784,1.0
6823,8731,0.7699175
6823,4846,1.0
6823,4012,1.0
6823,8295,1.0
6823,8283,1.0
6823,5625,1.0
6823,7062,0.7699175
6823,4423,0.76240206
6823,94,1.0
6823,3842,0.76240206
6823,8696,1.0
6823,3587,1.0
6823,8883,1.0
6823,3166,1.0
6823,2146,1.0
6823,3416,0.7699175
6823,76,0.7699175
6823,8904,1.0
6823,5180,1.0
6823,2655,1.0
6823,8127,1.0
6823,8672,0.7699175
6823,2509,0.7699175
6823,7010,1.0
6823,1373,1.0
6823,7388,0.7699175
6823,3033,1.0
6823,2854,1.0
8012,1473,0.859531
8012,1829,0.89821094
8012,2612,0.9432076
8012,1398,0.8561826
8012,649,0.7718318
8012,659,0.770704
8012,3228,0.855531
8012,286,0.82523763
8012,4640,0.851432
8012,2875,0.7672499
8012,876,0.7595075
8012,6433,0.7640468
8012,2187,0.75082016
8012,7884,0.89368725
8012,1130,0.9351205
8012,164,0.7985744
8012,501,0.88989407
8012,2191,0.8000666
8012,77,0.9284536
8012,2412,0.76367545
8012,1147,0.76712424
8012,2278,0.7985744
8012,1825,0.750105
8012,2198,0.8398366
8012,2204,0.859531
8012,983,0.859531
8012,1184,0.8566232
8012,606,0.75088906
8012,1437,0.82523763
8012,1027,0.8452906
8012,1527,0.8433608
8012,2435,0.7738106
8012,3079,0.8816201
8012,3262,0.78184384
8012,1725,0.859531
8012,3480,0.77525055
8012,7524,0.89861035
8012,2202,0.75985444
8012,2084,0.8916151
8012,6228,0.8527975
8012,2223,0.803313
8012,755,0.8015417
8012,471,0.83015925
8012,2413,0.81378937
8012,3232,0.84168106
8012,9065,0.8386689
8012,8277,0.7945594
