original_product,matched_product,cosin_score
6823,653,0.77684975
6823,8016,0.7572743
6823,230,0.7846277
6823,1585,0.42777
6823,2145,0.7869901
6823,1942,0.757054
6823,3487,0.7532648
6823,3778,0.56434405
6823,3535,0.89796174
6823,2787,0.80249476
6823,5314,0.7766128
6823,6762,0.8180999
6823,1167,0.75968206
6823,2809,0.61571825
6823,8533,0.69072413
6823,68,0.58830553
6823,8996,0.7793463
6823,3540,0.87303174
6823,4784,0.5860659
6823,2449,0.92850375
6823,404,0.547966
6823,3459,0.8342382
6823,2958,0.772809
6823,464,0.7667111
6823,8321,0.54888165
6823,1625,0.71607274
6823,5364,0.77960896
6823,6071,0.8251177
6823,8593,0.5526607
6823,3945,0.76594496
6823,2810,0.4071046
6823,4275,0.86834455
6823,474,0.7855694
6823,7839,0.7766413
6823,2682,0.7427043
6823,9049,0.8063272
6823,5420,0.78841317
6823,4380,0.84289753
6823,4003,0.6101742
6823,8627,0.7599315
6823,6011,0.55555546
6823,7475,0.87606174
6823,7697,0.7893827
6823,729,0.7528607
6823,3655,0.6221557
6823,412,0.45174903
6823,3847,0.5196139
6823,8495,0.8481057
6823,3907,0.7943759
6823,5754,0.802266
6823,7992,0.53649104
6823,2022,0.81233585
6823,2507,0.8030042
6823,1627,0.8945346
6823,6874,0.8034963
6823,8667,0.46593273
6823,1682,0.7565375
6823,8398,0.424227
6823,3943,0.5519101
6823,1828,0.7846277
6823,7972,0.79331934
6823,879,0.8214317
6823,1355,0.75045455
6823,3322,0.84578174
6823,1917,0.5463172
6823,4051,0.778797
6823,5901,0.6641637
6823,9051,0.7709335
6823,5021,0.5480563
6823,728,0.75456727
6823,7474,0.7882621
6823,3681,0.6581026
6823,5808,0.878456
6823,3417,0.8092083
6823,1742,0.7670118
6823,2788,0.80249476
6823,1723,0.75962245
6823,965,0.57611376
6823,650,0.80845225
6823,3519,0.8308623
6823,2460,0.7884068
6823,53,0.75119245
6823,1879,0.7750158
6823,8107,0.7788367
6823,3643,0.4659446
6823,9217,0.7607217
6823,6545,0.8180999
6823,6974,0.80994606
6823,471,0.7735418
6823,8247,0.65551376
6823,1471,0.7732448
6823,8497,0.7778079
6823,380,0.76555765
6823,4008,0.6453898
6823,612,0.77861893
6823,6802,0.8567196
6823,8519,0.80806375
6823,2715,0.7638774
6823,2653,0.58040714
6823,9103,0.5025735
6823,4783,0.75912976
6823,3065,0.58606577
6823,3668,0.78590596
6823,9102,0.42861634
6823,3843,0.7682301
6823,3851,0.54888165
6823,2501,0.9211386
6823,8783,0.6841514
6823,896,0.5822454
6823,2985,0.7553605
6823,1560,0.7840167
6823,242,0.822974
6823,5687,0.7399336
6823,4947,0.4071046
6823,4209,0.61571825
6823,1923,0.7502021
6823,6165,0.48222405
6823,7635,0.76477265
6823,2489,0.7832868
6823,8512,0.72003424
6823,153,0.7725849
6823,7454,0.75236106
6823,3062,0.8450093
6823,6828,0.78357244
6823,3968,0.780647
6823,5955,0.7763587
