original_product,matched_product,cosin_score
6671,6058,0.48257026
6679,464,0.46443215
6679,4779,1.0
6679,9253,1.0
6679,8312,0.44313192
6679,4871,1.0
6679,5667,1.0
6679,6216,1.0
6679,5612,1.0
6679,3623,0.0
6679,3780,0.0
6679,5716,1.0
6679,6350,0.48783597
6679,6684,1.0
6679,4616,0.0
6679,4139,0.0
6679,3746,0.0
6679,6451,1.0
6679,8478,0.0
6679,4945,0.0
6679,4780,1.0
6679,4946,0.0
6679,4845,1.0
6679,4999,0.50956786
6679,5140,1.0
6679,5762,1.0
6679,1107,0.506854
6679,5795,1.0
6679,5718,0.0
6679,5805,1.0
6679,6436,1.0
6679,6446,1.0
6679,5468,0.0
6679,2994,0.0
6679,6122,1.0
6679,1951,0.62839746
6679,5766,1.0
6679,3907,0.44500062
6679,4101,0.0
6679,6874,0.49029693
6679,1817,1.0
6679,2328,0.0
6679,5888,1.0
6679,582,0.5236627
6679,6752,1.0
6679,2658,0.0
6679,5691,1.0
6679,5382,0.62839746
6679,189,0.5853609
6679,5737,0.0
6679,5119,0.73440045
6679,8364,0.5578971
6679,5648,1.0
6679,6659,1.0
6679,4824,0.0
6679,6596,0.4485428
6679,5114,0.73440045
6679,5604,0.0
6679,5807,1.0
6679,8357,0.0
6679,6429,0.4127763
6679,1830,0.82704735
6679,2395,0.0
6679,5763,1.0
6679,5177,0.48950973
6679,6683,1.0
6679,4764,1.0
6679,7615,0.0
6679,1742,0.7733659
6679,5597,0.73440045
6679,3256,0.0
6679,5717,0.0
6679,4962,0.0
6679,6222,0.73440045
6679,3344,0.45373103
6679,6628,1.0
6679,8366,0.6618499
6679,627,0.4454011
6679,4777,1.0
6679,5442,0.0
6679,5549,1.0
6679,5882,1.0
6679,5779,1.0
6679,6335,1.0
6679,6630,0.49606892
6679,437,0.5071537
6679,1129,0.6689989
6679,7602,0.0
6679,5659,0.73440045
6679,5088,0.0
6679,5777,1.0
6679,6749,0.82704735
6679,731,0.65079266
6679,204,0.43660474
6679,5935,0.0
6679,5075,1.0
6679,5765,1.0
6679,7613,0.0
6679,6412,0.6825373
6679,5438,0.0
6679,6697,0.4610002
6679,5970,0.73440045
6679,1479,0.78212816
6679,6480,0.0
6679,4143,0.0
6679,5674,0.73440045
6679,5680,1.0
6679,4581,0.0
6679,4625,0.0
6679,5132,0.73440045
6679,3574,0.0
6679,5024,0.6618499
6679,5009,0.41988948
6679,3269,0.44764847
6679,6215,1.0
6679,5736,0.0
6679,6598,0.45588008
6679,6485,0.52143145
6679,6547,1.0
6679,4102,0.0
6679,6128,1.0
6679,1204,0.0
6679,5652,1.0
6679,5798,0.78212816
6679,316,0.0
6679,4903,0.73478335
6679,5066,0.73440045
6679,5719,0.0
6679,2968,0.0
6679,5741,0.0
6679,5470,1.0
6679,6442,1.0
6679,7030,0.0
6679,6968,1.0
6679,567,0.476566
6679,5159,0.4678853
6679,4851,1.0
6679,5774,1.0
6679,9,0.62791514
6679,5123,1.0
6679,6654,1.0
6679,2881,0.0
6679,346,1.0
6679,5772,1.0
6679,3830,0.44764847
6679,3706,0.43628407
6679,6247,1.0
6679,3066,0.40388075
6679,3671,0.0
6679,6035,1.0
6679,3030,0.0
6679,8863,0.0
6679,6691,1.0
6679,6885,0.0
6679,4700,0.7390831
6679,2331,0.0
6679,5889,1.0
6679,1168,0.41700462
6679,5405,0.0
6679,6454,1.0
6679,7603,0.0
6679,2939,0.8547597
6679,8297,0.40084836
6679,5094,1.0
6679,5611,0.0
6679,3124,0.0
6679,6554,0.77158785
6679,6450,1.0
6679,3086,0.42715737
6679,4841,1.0
6679,5141,1.0
6679,1952,0.69497746
6679,1374,0.43300232
6679,5074,1.0
6679,4433,0.0
6679,5895,1.0
6679,5751,0.73440045
6679,5404,0.0
6679,4839,1.0
6679,6096,1.0
6679,5113,1.0
6679,5664,0.73440045
6679,4963,0.0
6679,5606,0.0
6679,8644,0.0
6679,6689,1.0
6679,4628,0.0
6679,4751,1.0
6679,2332,0.0
6679,4978,0.0
6679,3293,0.45373103
6679,5778,1.0
6679,386,1.0
6679,4844,1.0
6679,6808,1.0
6679,7800,0.0
6679,2757,1.0
6679,362,0.47921422
6679,5783,1.0
6679,5019,0.5305077
6679,6867,0.62942296
6679,6617,0.47283658
6679,5806,1.0
6679,4119,0.0
6679,5650,1.0
6679,934,0.4325853
6679,4287,0.0
6679,3205,0.42259893
6679,3212,0.0
6679,5775,1.0
6679,7177,0.82704735
6679,5796,1.0
6679,8296,0.6689989
6679,3638,0.8547597
6679,3575,0.0
6679,6218,0.5574594
6679,8921,0.44239664
6679,1949,0.69497746
6679,1993,0.47475573
6679,3932,0.0
6679,5715,1.0
6679,5279,0.0
6679,5661,1.0
6679,5089,0.0
6679,6447,1.0
6679,5077,1.0
6679,4532,0.0
6679,3554,1.0
6679,5771,1.0
6679,12,0.50257355
6679,6759,0.50886893
6679,4103,0.0
6679,2659,0.7733659
6679,4292,0.0
6679,557,0.0
6679,6439,0.7733659
6679,764,0.600198
6679,721,0.55155563
6679,2394,0.0
6679,5878,1.0
6679,915,0.0
6679,5481,0.50886893
6679,3637,1.0
6679,4142,0.0
6679,6751,1.0
6679,6665,0.73478335
6679,5868,0.73440045
6679,4840,0.73440045
6679,6723,1.0
6679,6722,0.73440045
6679,3725,0.0
6679,2880,0.0
6679,6260,0.5948824
6679,3324,0.5599092
6679,6095,1.0
6679,3211,0.0
6679,4718,1.0
6679,5784,1.0
6679,5767,1.0
6679,2656,0.0
6679,6123,1.0
6679,5548,1.0
6679,5171,0.0
6679,5126,0.0
6679,4145,0.0
6679,6715,1.0
6679,5061,0.6504207
6679,6541,0.48155844
6679,2399,0.0
6679,4734,0.0
6679,5679,1.0
6679,7172,0.62839746
6679,6415,0.55840373
6679,6039,1.0
6679,3259,0.44771504
6679,5466,0.0
6679,2983,0.0
6679,2969,0.0
6679,4695,1.0
6679,5897,1.0
6679,2114,0.0
6679,4906,0.6089966
6679,1586,0.48197988
6679,3326,0.49638954
6679,5131,0.0
6679,5363,0.0
6679,6265,0.0
6679,5887,1.0
6679,5672,0.73440045
6679,5864,1.0
6679,5127,0.0
6679,2003,0.5438941
6679,8867,0.0
6679,6443,1.0
6679,3403,0.73440045
6679,5787,0.73440045
6679,1324,0.82704735
6679,5952,1.0
6679,5893,1.0
6679,6631,0.4207559
6679,8862,0.0
6679,6868,0.5865819
6679,6534,0.73478335
6679,5881,1.0
6679,5793,1.0
6679,6664,0.5809871
6679,918,0.46733037
6679,8479,0.0
6679,6880,0.0
6679,5884,1.0
6679,5885,1.0
6679,7307,0.4325853
6679,6720,1.0
6679,8941,0.40681854
6679,4779,0.0
6679,9253,0.40879756
6679,464,0.0
6679,9167,1.0
6679,4871,0.0
6679,7904,0.734591
6679,3623,0.7417011
6679,6216,0.0
6679,5612,1.0
6679,5667,0.0
6679,5716,1.0
6679,3780,1.0
6679,9251,0.40681854
6679,4139,1.0
6679,5865,0.734591
6679,4616,0.4143706
6679,6684,0.0
6679,6350,0.0
6679,3746,1.0
6679,6451,0.0
6679,4780,0.0
6679,8478,0.734591
6679,4945,1.0
6679,4845,0.0
6679,4946,1.0
6679,5140,0.0
6679,5805,0.0
6679,5795,0.0
6679,5762,0.0
6679,6436,0.40879756
6679,5718,1.0
6679,7663,1.0
6679,1107,0.0
6679,5468,0.734591
6679,6446,0.0
6679,2994,1.0
6679,1951,0.7417011
6679,5766,0.0
6679,6122,0.0
6679,3907,0.0
6679,4101,1.0
6679,1817,0.61041087
6679,2328,0.60596734
6679,6874,0.0
6679,5888,0.0
6679,2658,0.734591
6679,582,0.0
6679,585,0.73204607
6679,6752,0.0
6679,5691,0.0
6679,5737,0.4143706
6679,5119,0.0
6679,4348,0.73204607
6679,189,0.0
6679,5648,0.0
6679,8364,0.0
6679,957,0.73204607
6679,6659,0.0
6679,3743,0.734591
6679,5807,0.0
6679,5604,1.0
6679,5114,0.0
6679,4824,0.4143706
6679,3122,0.73204607
6679,6879,1.0
6679,2395,0.73204607
6679,8357,0.734591
6679,1830,0.61041087
6679,9093,0.734591
6679,9252,0.40681854
6679,5177,0.0
6679,6683,0.0
6679,5763,0.0
6679,4764,0.0
6679,7615,1.0
6679,1742,0.60642916
6679,3256,0.53172123
6679,5597,0.0
6679,8073,1.0
6679,5717,1.0
6679,9144,0.40879756
6679,4962,0.611884
6679,6222,0.0
6679,1950,0.734591
6679,2650,0.61041087
6679,8366,0.0
6679,6628,0.0
6679,3344,0.0
6679,5442,0.4143706
6679,4777,0.0
6679,5549,0.0
6679,627,0.0
6679,5779,0.0
6679,5882,0.0
6679,58,0.61041087
6679,6335,0.0
6679,4398,0.68577063
6679,5659,0.0
6679,5777,0.0
6679,3085,0.7417011
6679,437,0.0
6679,7602,1.0
6679,5088,0.4143706
6679,1129,0.0
6679,6749,0.0
6679,731,0.0
6679,9092,1.0
6679,5075,0.0
6679,3349,0.53172123
6679,5935,1.0
6679,204,0.0
6679,5765,0.0
6679,7613,1.0
6679,6480,1.0
6679,6697,0.0
6679,1479,0.53172123
6679,5610,0.68577063
6679,5438,1.0
6679,5970,0.0
6679,6412,0.0
6679,5680,0.0
6679,4581,0.4143706
6679,5674,0.0
6679,4143,1.0
6679,5465,1.0
6679,4625,0.4143706
6679,3574,0.61041087
6679,5132,0.0
6679,6215,0.0
6679,3269,0.0
6679,5009,0.0
6679,5024,0.0
6679,5736,1.0
6679,6547,0.0
6679,6485,0.0
6679,4102,1.0
6679,1204,0.7417011
6679,6128,0.0
6679,5798,0.0
6679,316,0.611884
6679,5652,0.0
6679,4903,0.0
6679,2879,0.6351608
6679,5066,0.0
6679,5741,0.73204607
6679,5719,1.0
6679,2968,0.7417011
6679,5470,0.0
6679,6442,0.0
6679,7030,0.73204607
6679,6968,0.0
6679,567,0.0
6679,5159,0.0
6679,5774,0.0
6679,4851,0.0
6679,5123,0.0
6679,6654,0.0
6679,5949,0.40681854
6679,9,0.0
6679,2881,0.5507713
6679,346,0.73204607
6679,5772,0.0
6679,3830,0.0
6679,3671,0.734591
6679,6247,0.0
6679,3030,1.0
6679,3066,0.0
6679,6035,0.0
6679,3706,0.0
6679,6691,0.0
6679,8863,1.0
6679,5889,0.0
6679,2331,0.7417011
6679,4700,0.40681854
6679,6885,1.0
6679,1168,0.0
6679,6454,0.0
6679,5405,1.0
6679,2995,1.0
6679,7603,1.0
6679,2939,0.0
6679,5611,0.4143706
6679,8297,0.0
6679,3124,0.5287764
6679,6554,0.0
6679,6450,0.0
6679,5284,0.4143706
6679,3086,0.0
6679,4841,0.0
6679,7905,1.0
6679,5141,0.0
6679,2220,0.60596734
6679,1952,0.7417011
6679,4839,0.0
6679,5895,0.0
6679,4433,1.0
6679,1374,0.0
6679,5404,0.60642916
6679,6096,1.0
6679,5751,0.0
6679,5074,0.0
6679,5113,0.0
6679,2996,0.734591
6679,4963,1.0
6679,5664,0.0
6679,5606,0.40681854
6679,8644,0.734591
6679,4628,1.0
6679,6689,0.0
6679,9095,1.0
6679,4751,0.0
6679,2332,0.7417011
6679,5609,0.68577063
6679,7209,1.0
6679,4978,1.0
6679,5605,0.40681854
6679,5778,0.0
6679,5608,0.40879756
6679,386,1.0
6679,3293,0.0
6679,4844,0.0
6679,6808,0.0
